airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,1152884,7050,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
GCXO,541658,10890,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
GCRR,460186,9161,ACE,28.945498999999998,-13.6052,Lanzarote Airport
GCFV,384215,8115,FUE,28.452699661254886,-13.863800048828125,Fuerteventura Airport
ENGM,334183,1721,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
LEBL,317326,1984,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EDDL,284438,1474,DUS,51.289501,6.766780000000001,Düsseldorf Airport
ESSA,280581,1262,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
EHAM,273031,1961,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EFHK,233446,1232,HEL,60.317199707031,24.963300704956,Helsinki Vantaa Airport
EGKK,219682,1244,LGW,51.148102,-0.190278,London Gatwick Airport
EDDF,189271,941,FRA,50.033333,8.570556,Frankfurt am Main Airport
EKCH,183260,1068,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
LEZL,178126,1199,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EGCC,176759,928,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EDDH,152182,804,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
EDDM,147010,801,MUC,48.353802,11.7861,Munich Airport
ESGG,130206,649,GOT,57.662799835205,12.279800415039,Gothenburg-Landvetter Airport
EIDW,124498,800,DUB,53.421299,-6.27007,Dublin Airport
EDDK,115122,720,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
EDDV,110147,638,HAJ,52.461101532,9.68507957458,Hannover Airport
EDDS,106880,621,STR,48.6898994446,9.22196006775,Stuttgart Airport
EKBI,104591,640,BLL,55.7402992249,9.15178012848,Billund Airport
ENBR,102920,566,BGO,60.29339981,5.218140125,Bergen Airport Flesland
EGBB,100391,552,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
LEMG,97205,630,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
EBBR,94494,679,BRU,50.9014015198,4.48443984985,Brussels Airport
LSZH,93012,625,ZRH,47.464698999999996,8.54917,Zürich Airport
LEBB,90655,586,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
LEST,89814,638,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
GCLA,89373,1817,SPC,28.626499,-17.7556,La Palma Airport
EGSS,87539,518,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LFSB,81571,493,BSL,47.59,7.5291667,EuroAirport Basel-Mulhouse-Freiburg Airport
EDDT,81460,456,TXL,52.5597,13.2877,Berlin-Tegel Airport
