airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEBL,666830,5382,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEMD,449268,4527,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEPA,164556,1630,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
GCXO,161502,1244,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
LFPO,149670,1768,ORY,48.7233333,2.3794444,Paris-Orly Airport
EGLL,86411,723,LHR,51.4706,-0.461941,London Heathrow Airport
GCLP,85966,752,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
EGKK,70254,619,LGW,51.148102,-0.190278,London Gatwick Airport
LEBB,63784,1881,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
LEVC,56188,1793,VLC,39.4893,-0.481625,Valencia Airport
EBBR,49571,718,BRU,50.9014015198,4.48443984985,Brussels Airport
EHAM,48953,429,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
GCTS,44357,263,TFS,28.044500351,-16.5725002289,Tenerife South Airport
