airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,287490,4922,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
EGSS,131337,899,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEBL,119173,2773,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGCC,82484,528,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
EGKK,76002,554,LGW,51.148102,-0.190278,London Gatwick Airport
EBBR,49158,375,BRU,50.9014015198,4.48443984985,Brussels Airport
EGBB,42951,267,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
EGGW,41188,297,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
LEPA,31745,218,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EIDW,25454,161,DUB,53.421299,-6.27007,Dublin Airport
EDDL,23226,157,DUS,51.289501,6.766780000000001,Düsseldorf Airport
GEML,20505,725,MLN,35.279800415,-2.9562599658999997,Melilla Airport
