airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEBL,424197,3834,BCN,41.2971,2.0784599999999998,Barcelona International Airport
LEMD,359293,3692,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEGE,128645,978,GRO,41.901000976999995,2.7605500221,Girona Airport
LEPA,106129,742,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EGSS,86452,546,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LIME,48229,312,BGY,45.673901,9.70417,Il Caravaggio International Airport
EGGP,43002,291,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EGNX,40519,264,EMA,52.8311004639,-1.32806003094,East Midlands Airport
LFPG,34125,292,CDG,49.012798,2.55,Charles de Gaulle International Airport
LFPO,29177,240,ORY,48.7233333,2.3794444,Paris-Orly Airport
LIRF,26100,215,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
GEML,20972,717,MLN,35.279800415,-2.9562599658999997,Melilla Airport
