airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,3083829,26763,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEPA,1532541,13929,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
EHAM,1066147,7689,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
LEZL,863984,6617,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
LFPG,860844,6666,CDG,49.012798,2.55,Charles de Gaulle International Airport
LFPO,743245,6665,ORY,48.7233333,2.3794444,Paris-Orly Airport
LEIB,737064,6177,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
LEMG,694501,5597,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LIRF,688457,5610,FCO,41.800277799999996,12.238888900000001,Leonardo da Vinci–Fiumicino Airport
LEMH,679714,5851,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
EGLL,606625,4630,LHR,51.4706,-0.461941,London Heathrow Airport
LEBB,595231,5223,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
EDDF,579784,4126,FRA,50.033333,8.570556,Frankfurt am Main Airport
EDDM,568684,4572,MUC,48.353802,11.7861,Munich Airport
LIMC,564608,5269,MXP,45.6306,8.728110000000001,Malpensa International Airport
LPPT,509261,5432,LIS,38.7813,-9.13592,Humberto Delgado Airport (Lisbon Portela Airport)
EKCH,454274,3453,CPH,55.617900848389,12.656000137328999,Copenhagen Kastrup Airport
EBBR,447917,4274,BRU,50.9014015198,4.48443984985,Brussels Airport
LSZH,408529,2851,ZRH,47.464698999999996,8.54917,Zürich Airport
LSGG,407857,3443,GVA,46.23809814453125,6.108950138092041,Geneva Cointrin International Airport
EGKK,376671,2679,LGW,51.148102,-0.190278,London Gatwick Airport
LEGR,372950,2904,GRX,37.18870162963867,-3.777359962463379,Federico Garcia Lorca Airport
LEST,348385,2627,SCQ,42.89630126953125,-8.415140151977539,Santiago de Compostela Airport
GCXO,339554,2221,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
GCLP,336388,2285,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LEAL,323806,3274,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
LOWW,315739,2524,VIE,48.110298156738004,16.569700241089002,Vienna International Airport
LLBG,292092,1818,TLV,32.011398315429695,34.88669967651367,Ben Gurion International Airport
LEAS,290422,2612,OVD,43.5635986328125,-6.0346198081970215,Asturias Airport
KJFK,271596,1383,JFK,40.63980103,-73.77890015,John F Kennedy International Airport
LIPZ,269549,2562,VCE,45.505299,12.3519,Venice Marco Polo Airport
LKPR,265915,2287,PRG,50.1008,14.26,Václav Havel Airport Prague
ESSA,261071,1866,ARN,59.651901245116996,17.918600082397,Stockholm-Arlanda Airport
LECO,257160,2098,LCG,43.302101,-8.37726,A Coruña Airport
LEVX,254528,2034,VGO,42.2318000793457,-8.62677001953125,Vigo Airport
UUDD,241340,1395,DME,55.40879821777344,37.90629959106445,Domodedovo International Airport
EDDL,230371,2435,DUS,51.289501,6.766780000000001,Düsseldorf Airport
LFSB,221454,1922,BSL,47.59,7.5291667,EuroAirport Basel-Mulhouse-Freiburg Airport
LGAV,220882,1620,ATH,37.9364013672,23.944499969499997,Eleftherios Venizelos International Airport
EIDW,204408,1480,DUB,53.421299,-6.27007,Dublin Airport
GMMN,203784,1980,CMN,33.36750030517578,-7.589970111846924,Mohammed V International Airport
EDDB,190307,1337,SXF,52.380001,13.5225,Berlin-Schönefeld Airport
EGGW,189840,1468,LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
LTBA,184794,1559,ISL,40.976898,28.8146,Atatürk International Airport
EDDS,172793,1705,STR,48.6898994446,9.22196006775,Stuttgart Airport
LFLL,164598,2305,LYS,45.725556,5.081111,Lyon Saint-Exupéry Airport
EGSS,158244,1144,STN,51.8849983215,0.23499999940400002,London Stansted Airport
EFHK,150414,1053,HEL,60.317199707031,24.963300704956,Helsinki Vantaa Airport
GCRR,149278,1071,ACE,28.945498999999998,-13.6052,Lanzarote Airport
UUEE,149021,1071,SVO,55.972599,37.4146,Sheremetyevo International Airport
ENGM,136748,973,OSL,60.193901062011996,11.100399971008,Oslo Gardermoen Airport
EGGP,133146,960,LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
EGGD,120178,895,BRS,51.382702,-2.71909,Bristol Airport
KATL,118126,576,ATL,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport
LIML,117646,1892,LIN,45.445099,9.27674,Milano Linate Airport
LRBS,112488,817,BBU,44.50320053100586,26.10210037231445,Băneasa International Airport
LROP,110397,1004,OTP,44.5711111,26.085,Henri Coandă International Airport
LPPR,108515,2386,OPO,41.248100280799996,-8.68138980865,Francisco de Sá Carneiro Airport
KEWR,104995,694,EWR,40.69250106811523,-74.168701171875,Newark Liberty International Airport
LIRN,102978,886,NAP,40.886002000000005,14.2908,Naples International Airport
UUWW,102820,650,VKO,55.591499328599994,37.2615013123,Vnukovo International Airport
EGCC,97256,591,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
LEAM,95341,1997,LEI,36.84389877319336,-2.3701000213623047,Almería International Airport
GCTS,94583,685,TFS,28.044500351,-16.5725002289,Tenerife South Airport
DAAG,93640,1186,ALG,36.691001892089844,3.215409994125366,Houari Boumediene Airport
LHBP,90783,676,BUD,47.429759999999995,19.261093,Budapest Liszt Ferenc International Airport
LEVC,90680,2361,VLC,39.4893,-0.481625,Valencia Airport
EDDK,89362,727,CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
EDDT,89287,637,TXL,52.5597,13.2877,Berlin-Tegel Airport
GMTT,86807,653,TNG,35.726898193400004,-5.916890144349999,Ibn Batouta Airport
EGNT,86493,639,NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
LEXJ,86017,2011,SDR,43.427101135253906,-3.82000994682312,Santander Airport
EGAA,85629,642,BFS,54.6575012207,-6.21582984924,Belfast International Airport
EVRA,84689,619,RIX,56.92359924316406,23.971099853515625,Riga International Airport
SKBO,83042,411,BOG,4.70159,-74.1469,El Dorado International Airport
LEJR,82130,719,XRY,36.74459838867188,-6.060110092163086,Jerez Airport
WSSS,80684,724,SIN,1.35019,103.994003,Singapore Changi Airport
EDDH,77322,568,HAM,53.630401611328004,9.988229751586902,Hamburg Airport
