airpt,pax,flights,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,373535,3232,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,259812,1746,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGSS,85069,588,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEPA,63979,636,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LEMG,62139,473,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
GCTS,35616,234,TFS,28.044500351,-16.5725002289,Tenerife South Airport
LEZL,35358,338,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
LFPG,28175,222,CDG,49.012798,2.55,Charles de Gaulle International Airport
GCRR,27699,199,ACE,28.945498999999998,-13.6052,Lanzarote Airport
LEIB,25038,219,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
GCXO,24884,242,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
LEAL,23406,193,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
