airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,608005,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
GCLP,590662,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
EGKK,369466,LGW,51.148102,-0.190278,London Gatwick Airport
EGCC,366621,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
GCXO,289633,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
EIDW,267753,DUB,53.421299,-6.27007,Dublin Airport
LEBL,204397,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGBB,147977,BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
LEBB,144496,BIO,43.30110168457031,-2.9106099605560303,Bilbao Airport
EGPF,135723,GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EGNX,115739,EMA,52.8311004639,-1.32806003094,East Midlands Airport
EHAM,97655,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
EDDL,97123,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EICK,88551,ORK,51.84130096435547,-8.491109848022461,Cork Airport
EGGD,80349,BRS,51.382702,-2.71909,Bristol Airport
