airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,618095,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,493951,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EDDF,225441,FRA,50.033333,8.570556,Frankfurt am Main Airport
EDDM,220703,MUC,48.353802,11.7861,Munich Airport
LEPA,190502,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LFPG,189954,CDG,49.012798,2.55,Charles de Gaulle International Airport
LEMG,168843,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LEZL,151566,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
EGSS,143693,STN,51.8849983215,0.23499999940400002,London Stansted Airport
GCXO,129149,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
EBBR,125796,BRU,50.9014015198,4.48443984985,Brussels Airport
GCRR,114748,ACE,28.945498999999998,-13.6052,Lanzarote Airport
EGLL,109813,LHR,51.4706,-0.461941,London Heathrow Airport
LEAL,105286,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
EHAM,93115,AMS,52.308601,4.76389,Amsterdam Airport Schiphol
GCLP,92826,LPA,27.931900024414066,-15.38659954071045,Gran Canaria Airport
LPPT,80705,LIS,38.7813,-9.13592,Humberto Delgado Airport (Lisbon Portela Airport)
LEIB,65895,IBZ,38.8728981018,1.3731199502899998,Ibiza Airport
LEMH,64709,MAH,39.86259841918945,4.2186498641967765,Menorca Airport
LEVC,62895,VLC,39.4893,-0.481625,Valencia Airport
LTBA,57972,ISL,40.976898,28.8146,Atatürk International Airport
EDDL,42294,DUS,51.289501,6.766780000000001,Düsseldorf Airport
EGCC,40563,MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
