airpt,value,airpt_iata,airpt_lat,airpt_lon,airpt_name
LEMD,452410,MAD,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport
LEBL,261934,BCN,41.2971,2.0784599999999998,Barcelona International Airport
EGSS,80140,STN,51.8849983215,0.23499999940400002,London Stansted Airport
LEMG,75118,AGP,36.67490005493164,-4.499110221862793,Málaga Airport
LEPA,71391,PMI,39.551700591999996,2.73881006241,Palma De Mallorca Airport
LEAL,36304,ALC,38.28219985961914,-0.5581560134887695,Alicante International Airport
LEZL,36101,SVQ,37.41799926757813,-5.8931097984313965,Sevilla Airport
GCXO,34301,TFN,28.4827003479,-16.341499328599998,Tenerife Norte Airport
EGKK,32689,LGW,51.148102,-0.190278,London Gatwick Airport
GCRR,26098,ACE,28.945498999999998,-13.6052,Lanzarote Airport
LFPG,25835,CDG,49.012798,2.55,Charles de Gaulle International Airport
EGLL,23466,LHR,51.4706,-0.461941,London Heathrow Airport
LEVC,21792,VLC,39.4893,-0.481625,Valencia Airport
